Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
67.5,-3.029831343,15.37720582,0.079810334,-3.31307846,15.16677947,0.089489106
68,-3.051877784,15.37664844,0.08011821,-3.305905554,15.17053706,0.08990327
68.5,-3.073924224,15.37609107,0.080426086,-3.298732648,15.17429464,0.090317434
69,-3.09400885,15.37613392,0.080742146,-3.29069324,15.17869079,0.090740775
69.5,-3.114093476,15.37617677,0.081058206,-3.282653831,15.18308694,0.091164117
70,-3.132241758,15.3768149,0.081382227,-3.273828864,15.18811042,0.091596072
70.5,-3.15039004,15.37745304,0.081706249,-3.265003896,15.1931339,0.092028028
71,-3.166641529,15.37868095,0.082037995,-3.255470701,15.19877362,0.092468038
71.5,-3.182893018,15.37990886,0.082369741,-3.245937506,15.20441335,0.092908048
72,-3.197299064,15.38172051,0.08270896,-3.235772011,15.21065815,0.09335554
72.5,-3.21170511,15.38353217,0.083048178,-3.225606516,15.21690296,0.093803033
73,-3.224326725,15.38592111,0.083394599,-3.214876316,15.22374223,0.094257474
73.5,-3.23694834,15.38831005,0.083741021,-3.204146115,15.2305815,0.094711916
74,-3.247854225,15.39126944,0.08409436,-3.192918176,15.23800448,0.095172755
74.5,-3.25876011,15.39422883,0.0844477,-3.181690237,15.24542745,0.095633595
75,-3.268020828,15.3977519,0.084807676,-3.170026856,15.25342356,0.096100293
75.5,-3.277281546,15.40127496,0.085167651,-3.158363475,15.26141966,0.096566992
76,-3.28498266,15.40535374,0.085533918,-3.146323154,15.26997847,0.097039019
76.5,-3.292683774,15.40943252,0.085900184,-3.134282833,15.27853728,0.097511046
77,-3.298903924,15.41405972,0.086272425,-3.121920356,15.28764847,0.097987878
77.5,-3.305124073,15.41868691,0.086644667,-3.109557879,15.29675967,0.09846471
78,-3.309946512,15.42385482,0.087022544,-3.096924405,15.30641305,0.098945833
78.5,-3.314768951,15.42902273,0.087400421,-3.084290931,15.31606644,0.099426955
79,-3.318277472,15.43472356,0.087783583,-3.071434112,15.32625194,0.099911862
79.5,-3.321785992,15.44042439,0.088166744,-3.058577292,15.33643745,0.100396769
80,-3.324065894,15.4466501,0.088554821,-3.045541396,15.3471451,0.100884964
80.5,-3.326345795,15.45287581,0.088942897,-3.032505499,15.35785274,0.101373159
81,-3.327474263,15.45961899,0.089335549,-3.01933155,15.36907268,0.101864155
81.5,-3.328602731,15.46636218,0.089728202,-3.0061576,15.38029261,0.10235515
